noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
1e9d006b-ded4-4053-af05-f569028cf2a2,1,Siemens Healthineers AG,DE 315879502,Eschborn,65760,DE71A,DEU,https://www.siemens-healthineers.com/de,,winner,,,,large,,
7fa84d12-2842-48c8-84de-0e851870a3a3,1,Zippert GmbH & Co. KG,DE242501749,Löchgau,74369,DE115,DEU,,,winner,,,,medium,,
e727944c-8d70-420a-a654-9b2308b5d619,1,Thermo Fisher Scientific - Life Technologies GmbH,DE146961848,Darmstadt,64293,DE711,DEU,,,winner,,,,large,DEU,
c6ee3ec7-5c8f-49e3-84d1-c9474b7f506c,1,sib Ingenieure GmbH,DE297458074,Traunreut,83301,DE21M,DEU,,,winner,,,,medium,DEU,
3dd76935-e63a-45dd-ad15-cdc600a702d0,1,Becker & Partner Baugesellschaft mbH,DE 137 37 46 34,Rostock,18107,DE80K,DEU,,,winner,,,,medium,DEU,
a9e4363c-3c8e-4c4b-8479-2b69deaf49af,1,Gebrüder Hörner GmbH,DE 146752266,Schwäbisch Gmünd,73529,DE11D,DEU,,,winner,,,,medium,DEU,
caea6dac-3e3f-4ca5-92b4-b4e73ac252fe,1,Karl Staib Sonnenschutzanlagen GmbH,DE251127620,Fellbach,70736,DE116,DEU,,,winner,,,,medium,DEU,
e52ba564-6ebb-4755-b2bd-09cb4914026d,1,Dr. Born - Dr. Ermel GmbH,DE 156 288 408,Achim,28832,DE93B,DEU,,,winner,,,,,,
322667df-9b00-4862-afda-59658e5995fe,1,Plandent GmbH & Co. KG,DE126045127,Münster,48153,DEA33,DEU,,,winner,,,,large,DEU,
0e3e20a8-d595-4e41-afe3-515904e58848,1,Raumausstatter Günter Helms,DE207050205,Pampow,19075,DE80O,DEU,,,winner,,,,medium,DEU,
15740369-63cd-4bbb-8625-f6fadf0e8475,1,Bedachungen Herdt GmbH,DE326003505,Traunreut,83301,DE21M,DEU,,,winner,,,,medium,DEU,
fb6bee1f-7bec-44c3-b718-b7a09d37b145,1,Fliesen Röhlich GmbH,DE811527841,Wendelstein,90530,DE25B,DEU,,,winner,,,,large,DEU,
841c63a3-bfa3-4d3a-965d-88fb73ecd8d0,1,Transplan Technik-Bauplanung GmbH,DE 213472687,Stuttgart,70563,DE111,DEU,,,winner,,,,medium,DEU,
82a4d6af-d2d2-4d3c-a51b-786ca0f7673d,1,EB-Innenausbau GmbH & Co. KG,DE293421976,Beverungen,37688,DEA44,DEU,,,winner,,,,small,DEU,
ec12227d-1558-4590-a432-110e2a2e28c8,1,Binder & Sohn GmbH,DE128578726,Ingolstadt,85055,DE211,DEU,,,winner,,,,medium,DEU,
10d38d78-01a2-4cc2-be4f-fc7ffc39a8d5,1,Abbruch Tiefbau t.bauer GmbH,DE245245584,Oberviechtach,92526,DE239,DEU,,,winner,,,,small,DEU,
